Instructor,Name,School,Panel Debate,Volte Face,Elevator Pitch,Cold Reading,Original Oratory
Ms. Tokyo,Mary Lydia Cassie,Florida,,Volte Face,,Cold Reading,Original Oratory
Ms. Tokyo,Anna Elsie ,Virginia,,Volte Face,,,Original Oratory
Ms. Tokyo,Emma Kate ,Berkeley,Panel Debate,,Elevator Pitch,Cold Reading,
Ms. Tokyo,Elizabeth Susan Melissa,Berkeley,,Volte Face,Elevator Pitch,,
Ms. Tokyo,Minnie Mollie Lyda,Florida,,Volte Face,,Cold Reading,Original Oratory
Ms. Tokyo,Margaret Alma ,Virginia,,Volte Face,,Cold Reading,Original Oratory
Ms. Tokyo,Ida Addie ,Berkeley,,Volte Face,,Cold Reading,Original Oratory
Ms. Tokyo,Alice Georgia ,Berkeley,,Volte Face,Elevator Pitch,Cold Reading,
Ms. Tokyo,Bertha Eliza ,Florida State,,Volte Face,,Cold Reading,
Ms. Tokyo,Sarah Lulu Mary,Notre Dame,,Volte Face,,Cold Reading,Original Oratory
Mr. Berlin,Annie Nannie ,Virginia Tech,,Volte Face,,Cold Reading,
Mr. Berlin,Clara Lottie Emma,Oxford,,,Elevator Pitch,Cold Reading,
Mr. Berlin,Ella Amanda ,Harvard,,Volte Face,Elevator Pitch,Cold Reading,
Mr. Berlin,Florence Belle ,Yale,Panel Debate,Volte Face,,Cold Reading,
Mr. Berlin,Cora Charlotte ,Stanford,Panel Debate,,,Cold Reading,
Mr. Berlin,Martha Rebecca Ida,Stanford,Panel Debate,,,Cold Reading,
Mr. Berlin,Laura Ruth ,Stanford,Panel Debate,Volte Face,,Cold Reading,
Mr. Berlin,Nellie Viola ,Stanford,Panel Debate,Volte Face,,Cold Reading,
Mr. Berlin,Grace Olive ,Florida,Panel Debate,,Elevator Pitch,,Original Oratory
Mr. Berlin,Carrie Amelia Annie,Virginia,,Volte Face,,Cold Reading,Original Oratory
Mr. Berlin,Maude Hannah ,Berkeley,,Volte Face,Elevator Pitch,,
Mr. Berlin,Mabel Jane Ella,Berkeley,,Volte Face,,Cold Reading,
Mr. Berlin,Bessie Virginia ,Florida State,,,,Cold Reading,Original Oratory
Ms. Lisbon,Jennie Emily ,Notre Dame,Panel Debate,,,Cold Reading,Original Oratory
Ms. Lisbon,Gertrude Matilda ,Virginia Tech,,,Elevator Pitch,Cold Reading,
Ms. Lisbon,Julia Irene Laura,Florida,,Volte Face,,Cold Reading,Original Oratory
Ms. Lisbon,Hattie Kathryn ,Virginia,,Volte Face,Elevator Pitch,,
Ms. Lisbon,Edith Esther Grace,Berkeley,,Volte Face,,Cold Reading,Original Oratory
Ms. Lisbon,Mattie Willie ,Berkeley,,Volte Face,,Cold Reading,Original Oratory
Ms. Lisbon,Rose Henrietta ,Florida,,,Elevator Pitch,Cold Reading,Original Oratory
Ms. Lisbon,Catherine Ollie ,Virginia,,Volte Face,Elevator Pitch,,
Ms. Lisbon,Lillian Amy Bessie,Berkeley,Panel Debate,Volte Face,,,
Ms. Lisbon,Ada Rachel ,Berkeley,Panel Debate,Volte Face,,Cold Reading,
Ms. Lisbon,Lillie Sara Gertrude,Florida State,Panel Debate,Volte Face,,,
Ms. Lisbon,Virgie Estella ,Notre Dame,,,Elevator Pitch,,Original Oratory
Ms. Lisbon,Eugenia Theresa ,Virginia Tech,,Volte Face,Elevator Pitch,Cold Reading,
Mr. Denver,Lucile Augusta ,Oxford,,,,Cold Reading,Original Oratory
Mr. Denver,Lucille Ora Mattie,Harvard,,,Elevator Pitch,,Original Oratory
Mr. Denver,Mabelle Pauline ,Yale,,Volte Face,,Cold Reading,
Mr. Denver,Rosalie Josie Catherine,Stanford,,,,Cold Reading,Original Oratory
Mr. Denver,Kittie Lola ,Stanford,,,Elevator Pitch,Cold Reading,
Mr. Denver,Meta Sophia ,Stanford,,Volte Face,,Cold Reading,
Mr. Denver,Angie Leona ,Stanford,,,,Cold Reading,Original Oratory
Ms. Nairobi,Dessie Anne ,Florida,,,Elevator Pitch,Cold Reading,Original Oratory
Ms. Nairobi,Georgiana Mildred Eugenia,Virginia,,Volte Face,Elevator Pitch,Cold Reading,
Ms. Nairobi,Lila Ann Lucile,Berkeley,,,Elevator Pitch,Cold Reading,Original Oratory
Ms. Nairobi,Regina Beulah Lucille,Berkeley,Panel Debate,Volte Face,Elevator Pitch,,
Ms. Nairobi,Selma Callie ,Florida State,,Volte Face,,Cold Reading,
